vertex_id,part_hint,mds0_norm,mds1_norm,mds2_norm,atlas_u_norm,atlas_v_norm
0,head,0.52910036,0.97039670,0.48403278,0.52910036,0.02960330
1,head,0.52135497,0.96409172,0.51094270,0.52135497,0.03590828
2,head,0.53422827,0.96094441,0.48491570,0.53422827,0.03905559
3,head,0.53788966,0.96589649,0.45798761,0.53788966,0.03410351
4,head,0.52821356,0.95704168,0.50712830,0.52821356,0.04295832
5,head,0.51806569,0.95870757,0.52132511,0.51806569,0.04129243
6,head,0.53984863,0.95667160,0.46340618,0.53984863,0.04332840
7,head,0.54213095,0.95914388,0.43612978,0.54213095,0.04085612
8,head,0.52699000,0.93684280,0.46121728,0.52699000,0.06315720
9,head,0.54667050,0.93277657,0.43753153,0.54667050,0.06722343
10,head,0.54738194,0.93969953,0.43153569,0.54738194,0.06030047
11,head,0.52535141,0.93947697,0.45853725,0.52535141,0.06052303
12,head,0.54292673,0.92223352,0.46025124,0.54292673,0.07776648
13,head,0.53410709,0.91750240,0.48505273,0.53410709,0.08249760
14,head,0.53740650,0.91199255,0.46440476,0.53740650,0.08800745
15,head,0.54243559,0.91491866,0.43930033,0.54243559,0.08508134
16,head,0.50585747,0.92854136,0.51166534,0.50585747,0.07145864
17,head,0.50972915,0.92515850,0.51275975,0.50972915,0.07484150
18,head,0.51230049,0.92857563,0.50634712,0.51230049,0.07142437
19,head,0.50842702,0.93155593,0.50913393,0.50842702,0.06844407
20,head,0.49833566,0.93391341,0.51774740,0.49833566,0.06608659
21,head,0.50101274,0.93721145,0.51107031,0.50101274,0.06278855
22,head,0.49798509,0.93952119,0.52202922,0.49798509,0.06047881
23,head,0.49584863,0.93793333,0.52324206,0.49584863,0.06206667
24,head,0.50396603,0.92624944,0.51992506,0.50396603,0.07375056
25,head,0.50671691,0.92230582,0.51757038,0.50671691,0.07769418
26,head,0.50275737,0.93159539,0.51220256,0.50275737,0.06840461
27,head,0.50113904,0.92967963,0.51926738,0.50113904,0.07032037
28,head,0.49738789,0.92729104,0.54237473,0.49738789,0.07270896
29,head,0.49779031,0.92889118,0.53589582,0.49779031,0.07110882
30,head,0.49530223,0.92904520,0.54296827,0.49530223,0.07095480
31,head,0.49522001,0.92722303,0.54866964,0.49522001,0.07277697
32,head,0.50156337,0.92644453,0.52616924,0.50156337,0.07355547
33,head,0.50034624,0.92794019,0.52817702,0.50034624,0.07205981
34,head,0.49926579,0.92648083,0.53603935,0.49926579,0.07351917
35,head,0.50008780,0.92524493,0.53299600,0.50008780,0.07475507
36,head,0.49760720,0.93159354,0.52588302,0.49760720,0.06840646
37,head,0.49459282,0.93147904,0.53436726,0.49459282,0.06852096
38,head,0.49281263,0.93110985,0.53862971,0.49281263,0.06889015
39,head,0.49336031,0.92773569,0.54866886,0.49336031,0.07226431
40,head,0.51786423,0.91756320,0.51084805,0.51786423,0.08243680
41,head,0.51375657,0.92147762,0.51190126,0.51375657,0.07852238
42,head,0.51042980,0.91893327,0.51580781,0.51042980,0.08106673
43,head,0.51386106,0.91572732,0.51430643,0.51386106,0.08427268
44,head,0.50149268,0.92325962,0.52882081,0.50149268,0.07674038
45,head,0.50337929,0.91424733,0.53570765,0.50337929,0.08575267
46,head,0.50355613,0.91688609,0.53396171,0.50355613,0.08311391
47,head,0.50148135,0.91852236,0.54351169,0.50148135,0.08147764
48,head,0.49787414,0.91415387,0.54179227,0.49787414,0.08584613
49,head,0.52371132,0.90858650,0.50144982,0.52371132,0.09141350
50,head,0.51839179,0.90888798,0.51017064,0.51839179,0.09111202
51,head,0.51885384,0.90463561,0.50958252,0.51885384,0.09536439
52,head,0.51719469,0.90404701,0.48536903,0.51719469,0.09595299
53,head,0.51344204,0.90150815,0.49924734,0.51344204,0.09849185
54,head,0.51795161,0.89950168,0.48450392,0.51795161,0.10049832
55,head,0.51290256,0.89221251,0.49588916,0.51290256,0.10778749
56,head,0.51563513,0.89564800,0.48965174,0.51563513,0.10435200
57,head,0.51428157,0.89807767,0.51207650,0.51428157,0.10192233
58,head,0.50923675,0.89597064,0.51604021,0.50923675,0.10402936
59,head,0.50179881,0.89886320,0.53434736,0.50179881,0.10113680
60,head,0.49756539,0.89908648,0.53948039,0.49756539,0.10091352
61,head,0.49930745,0.89319909,0.53207898,0.49930745,0.10680091
62,head,0.50417596,0.89419258,0.52657610,0.50417596,0.10580742
63,head,0.50197023,0.91127479,0.52651513,0.50197023,0.08872521
64,head,0.50461990,0.91059178,0.52161324,0.50461990,0.08940822
65,head,0.50328916,0.91228551,0.52402526,0.50328916,0.08771449
66,head,0.50204957,0.91303158,0.53229868,0.50204957,0.08696842
67,head,0.50753069,0.91032344,0.51833975,0.50753069,0.08967656
68,head,0.50879115,0.91016328,0.51774627,0.50879115,0.08983672
69,head,0.50840008,0.91102505,0.51772624,0.50840008,0.08897495
70,head,0.50735450,0.91076356,0.51831770,0.50735450,0.08923644
71,head,0.50593311,0.91046923,0.51986593,0.50593311,0.08953077
72,head,0.50541657,0.90960675,0.52246106,0.50541657,0.09039325
73,head,0.50689083,0.90989929,0.51963979,0.50689083,0.09010071
74,head,0.50272298,0.90920734,0.52740318,0.50272298,0.09079266
75,head,0.49427915,0.90937376,0.54502064,0.49427915,0.09062624
76,head,0.49630424,0.90893644,0.54035664,0.49630424,0.09106356
77,head,0.49625525,0.91154253,0.53931856,0.49625525,0.08845747
